file|name|version|package|confidence|size_mb|methods_used
Cut the Rope Daily v1.9.0.ipa|Cut the Rope Daily|1.9.0|com.zeptolab.ctrdaily|4|207.68|main_plist, plutil, alt_plist_2, alt_plist_3, alt_plist_4
Cut the Rope_ Origins Dev v10.18.0.ipa|Cut the Rope: Origins Dev|10.18.0|com.zeptolab.ctrorigins|4|172.53|main_plist, plutil
Cut the Rope Daily v1.6.0.apk|Cut the Rope Daily|1.6.0|com.zeptolab.ctrdaily|3|257.9|aapt, aapt_resources, manifest
Cut the Rope Daily v1.9.0.apk|Cut the Rope Daily|1.9.0|com.zeptolab.ctrdaily|3|259.34|aapt, aapt_resources, manifest
Cut the Rope_ Origins Dev v0.18.0.apk|Cut the Rope: Origins Dev|0.18.0|com.zeptolab.ctrorigins|3|233.29|aapt, aapt_resources, manifest
Cut the Rope_ Origins PTC v0.24.0.apk|Cut the Rope: Origins PTC|0.24.0|com.zeptolab.ctrorigins|3|240.7|aapt, aapt_resources, manifest
Cut the Rope_ Origins PTC v0.25.0.apk|Cut the Rope: Origins PTC|0.25.0|com.zeptolab.ctrorigins|3|247.57|aapt, aapt_resources, manifest
Cut the Rope_ Origins RC v0.18.0.apk|Cut the Rope: Origins RC|0.18.0|com.zeptolab.ctrorigins|3|257.69|aapt, aapt_resources, manifest
Cut the Rope_ Origins RC v0.21.0.apk|Cut the Rope: Origins RC|0.21.0|com.zeptolab.ctrorigins|3|211.77|aapt, aapt_resources, manifest
Cut the Rope_ Origins RC v10.17.0.ipa|Cut the Rope: Origins RC|10.17.0|com.zeptolab.cuttheropehd1|4|221.73|main_plist, plutil
Cut the Rope_ Origins RC v10.18.0 (1).ipa|Cut the Rope: Origins RC|10.18.0|com.zeptolab.cuttheropehd1|4|219.88|main_plist, plutil
Cut the Rope_ Origins RC v0.23.0.apk|Cut the Rope: Origins RC|0.23.0|com.zeptolab.ctrorigins|3|237.98|aapt, aapt_resources, manifest
Cut the Rope_ Origins RC v10.18.0.ipa|Cut the Rope: Origins RC|10.18.0|com.zeptolab.cuttheropehd1|4|219.59|main_plist, plutil
Cut the Rope_ Origins RC v10.22.0.ipa|Cut the Rope: Origins RC|10.22.0|com.zeptolab.cuttheropehd1|4|265.21|main_plist, plutil
Cut the Rope_ Origins RC v10.21.0.ipa|Cut the Rope: Origins RC|10.21.0|com.zeptolab.cuttheropehd1|4|166.46|main_plist, plutil
