file|name|version|package|confidence|size_mb|methods_used
Steel Revolt v1.9.ipa|Steel Revolt|1.9|com.zeptolab.steel-revolt|4|127.82|main_plist, plutil, alt_plist_2, alt_plist_3, alt_plist_4
Steel Revolt v1.9.apk|Steel Revolt|1.9|com.pantelisdev.steelrevolt|3|250.38|aapt, aapt_resources, manifest
SteelRevolt v2.0.0.ipa|SteelRevolt|2.0.0|com.zeptolab.steelrevoltremastered|4|72.19|main_plist, plutil, alt_plist_2, alt_plist_3
Stronghold Defense v0.0.1.apk|Stronghold Defense|0.0.1|com.zeptolab.stronghold|3|54.28|aapt, aapt_resources, manifest
Stronghold Defense v0.0.1.ipa|Stronghold Defense|0.0.1|com.zeptolab.stronghold|4|31.06|main_plist, plutil, alt_plist_2, alt_plist_3
SteelRevolt v2.0.0.apk|SteelRevolt|2.0.0|com.zeptolab.steelrevoltremastered|3|102.31|aapt, aapt_resources, manifest
Stronghold v0.0.1.ipa|Stronghold|0.0.1|com.zeptolab.stronghold|4|30.81|main_plist, plutil, alt_plist_2, alt_plist_3, alt_plist_4
Sushi Merge Wasabi Rush v0.1.0.apk|Sushi Merge Wasabi Rush|0.1.0|com.zeptolab.sushimerge|3|85.79|aapt, aapt_resources, manifest
Swarmhold v1.4.ipa|Swarmhold|1.4|com.zeptolab.shooter2d|4|47.33|main_plist, plutil, alt_plist_2, alt_plist_3, alt_plist_4
Stronghold v0.0.1.apk|Stronghold|0.0.1|com.zeptolab.stronghold|3|54.45|aapt, aapt_resources, manifest
Swarmhold v1.4.apk|Swarmhold|1.4|com.pantelisdev.swarmhold|3|69.29|aapt, aapt_resources, manifest
SweetHarvest v1.0.apk|SweetHarvest|1.0|com.zeptolab.sweetharvest|3|46.47|aapt, aapt_resources, manifest
They are almost billion v0.0.1.apk|They are almost billion|0.0.1|com.zeptolab.billions|3|57.75|aapt, aapt_resources, manifest
Turn To Orange v1.0.0.ipa|Turn To Orange|1.0.0|com.zeptolab.turntoorange|4|63.08|main_plist, plutil
Turn To Orange v1.0.0.apk|Turn To Orange|1.0.0|com.zeptolab.turntoorange|3|120.29|aapt, aapt_resources, manifest
Tile Tint v0.1.0.apk|Tile Tint|0.1.0|com.colorful.ornament|3|99.17|aapt, aapt_resources, manifest
Volcano Pop v0.1.0.apk|Volcano Pop|0.1.0|com.zeptolab.volcanopop|3|40.73|aapt, aapt_resources, manifest
Volcano Pop v0.1.0.ipa|Volcano Pop|0.1.0|com.zeptolab.volcanopop|4|21.19|main_plist, plutil, alt_plist_2, alt_plist_3
Tiny Hunters v3.11.0.apk|Tiny Hunters|3.11.0|com.pantelisdev.hunters|3|167.47|aapt, aapt_resources, manifest
Wicked Woods v1.0.ipa|Wicked Woods|1.0|com.zeptolab.ww|4|13.01|main_plist, plutil
Westward Rancher v0.0.1.ipa|Westward Rancher|0.0.1|com.zeptolab.wr|4|37.74|main_plist, plutil, alt_plist_2, alt_plist_3
Westward Rancher v0.0.1.apk|Westward Rancher|0.0.1|com.zeptolab.wr|3|68.62|aapt, aapt_resources, manifest
World of Tower Defence v1.0.0 (1).ipa|World of Tower Defence|1.0.0|com.zeptolab.world-of-tower-defence|4|30.78|main_plist, plutil
Wobble Towers v0.1.0.ipa|Wobble Towers|0.1.0|com.zeptolab.wobbletowers|4|42.17|main_plist, plutil, alt_plist_2, alt_plist_3
World of Tower Defence v1.0.0 (2).ipa|World of Tower Defence|1.0.0|com.zeptolab.world-of-tower-defence|4|30.78|main_plist, plutil
World of Tower Defence v1.0.0 (3).ipa|World of Tower Defence|1.0.0|com.zeptolab.world-of-tower-defence|4|30.78|main_plist, plutil
World of Tower Defence v1.0.0.ipa|World of Tower Defence|1.0.0|com.zeptolab.world-of-tower-defence|4|50.82|main_plist, plutil
World of Tower Defence v1.0.0 (1).apk|World of Tower Defence|1.0.0|com.zeptolab.worldoftowerdefence|3|42.49|aapt, aapt_resources, manifest
Wobble Towers v0.1.0.apk|Wobble Towers|0.1.0|com.zeptolab.wobbletowers|3|72.31|aapt, aapt_resources, manifest
World of Tower Defence v1.0.0.apk|World of Tower Defence|1.0.0|com.zeptolab.worldoftowerdefence|3|101.29|aapt, aapt_resources, manifest
Zombillion Spin RT v0.0.1.apk|Zombillion Spin RT|0.0.1|com.zeptolab.billionsrealtime|3|45.83|aapt, aapt_resources, manifest
Zombillion Spin v0.0.1.apk|Zombillion Spin|0.0.1|com.zeptolab.billions|3|57.75|aapt, aapt_resources, manifest
Zombillion Spin RT v0.0.1.ipa|Zombillion Spin RT|0.0.1|com.zeptolab.billionsrealtime|4|33.01|main_plist, plutil, alt_plist_2, alt_plist_3
Zombillion Spin v0.0.1.ipa|Zombillion Spin|0.0.1|com.zeptolab.billions|4|32.91|main_plist, plutil, alt_plist_2, alt_plist_3
